threads time_ms
1 152259мс
1 170680мс
1 138008мс
1 151230мс
1 152919мс
2 65800мс
2 74609мс
2 80255мс
2 66696мс
2 69783мс
4 41211мс
4 38474мс
4 40656мс
4 37629мс
4 37940мс
8 19267мс
8 21573мс
8 22467мс
8 21720мс
8 22361мс
16 11787мс
16 12721мс
16 13021мс
16 12407мс
16 11872мс
32 6128мс
32 6090мс
32 10573мс
32 5332мс
32 4755мс
64 3514мс
64 3582мс
64 3665мс
64 4085мс
64 4532мс
128 11105мс
128 3726мс
128 3352мс
128 3524мс
128 3496мс
256 2972мс
256 3001мс
256 3213мс
256 3123мс
256 3284мс
512 3271мс
512 2983мс
512 3152мс
512 3147мс
512 2892мс
1024 13490мс
1024 4099мс
1024 5488мс
1024 3631мс
1024 4559мс
